"Step","arxiv_qwen3_8b_grpo_4033544 - reward/avg_raw_reward","arxiv_qwen3_8b_grpo_4033544 - reward/avg_raw_reward__MIN","arxiv_qwen3_8b_grpo_4033544 - reward/avg_raw_reward__MAX","arxiv_qwen2.5_7b_bz256_grpo_3991957_0 - reward/avg_raw_reward","arxiv_qwen2.5_7b_bz256_grpo_3991957_0 - reward/avg_raw_reward__MIN","arxiv_qwen2.5_7b_bz256_grpo_3991957_0 - reward/avg_raw_reward__MAX","arxiv_qwen2.5_7b_grpo_3964391_0 - reward/avg_raw_reward","arxiv_qwen2.5_7b_grpo_3964391_0 - reward/avg_raw_reward__MIN","arxiv_qwen2.5_7b_grpo_3964391_0 - reward/avg_raw_reward__MAX","arxiv_train_qwen3_4b_3_turns_1000gen_gs10_cosdecay_3816027 - reward/avg_raw_reward","arxiv_train_qwen3_4b_3_turns_1000gen_gs10_cosdecay_3816027 - reward/avg_raw_reward__MIN","arxiv_train_qwen3_4b_3_turns_1000gen_gs10_cosdecay_3816027 - reward/avg_raw_reward__MAX"
"1","0.6387695312499999","0.6387695312499999","0.6387695312499999","0.55107421875","0.55107421875","0.55107421875","0.5946289062499999","0.5946289062499999","0.5946289062499999","0.574609375","0.574609375","0.574609375"
"2","0.49990234375","0.49990234375","0.49990234375","0.57705078125","0.57705078125","0.57705078125","0.49580078124999993","0.49580078124999993","0.49580078124999993","0.55171875","0.55171875","0.55171875"
"3","0.5541015625","0.5541015625","0.5541015625","0.5459960937499999","0.5459960937499999","0.5459960937499999","0.5806640624999999","0.5806640624999999","0.5806640624999999","0.625703125","0.625703125","0.625703125"
"4","0.6045898437499999","0.6045898437499999","0.6045898437499999","0.5734374999999999","0.5734374999999999","0.5734374999999999","0.61845703125","0.61845703125","0.61845703125","0.47992187499999994","0.47992187499999994","0.47992187499999994"
"5","0.56298828125","0.56298828125","0.56298828125","0.5100097656249999","0.5100097656249999","0.5100097656249999","0.5736328124999999","0.5736328124999999","0.5736328124999999","0.571875","0.571875","0.571875"
"6","0.5174804687499999","0.5174804687499999","0.5174804687499999","0.5596679687499999","0.5596679687499999","0.5596679687499999","0.53056640625","0.53056640625","0.53056640625","0.579375","0.579375","0.579375"
"7","0.6484375","0.6484375","0.6484375","0.6022949218749999","0.6022949218749999","0.6022949218749999","0.638671875","0.638671875","0.638671875","0.6107031249999999","0.6107031249999999","0.6107031249999999"
"8","0.5033203125","0.5033203125","0.5033203125","0.54912109375","0.54912109375","0.54912109375","0.51826171875","0.51826171875","0.51826171875","0.609921875","0.609921875","0.609921875"
"9","0.48662109374999996","0.48662109374999996","0.48662109374999996","0.589990234375","0.589990234375","0.589990234375","0.49101562499999996","0.49101562499999996","0.49101562499999996","0.636015625","0.636015625","0.636015625"
"10","0.5340820312499999","0.5340820312499999","0.5340820312499999","0.6119628906249999","0.6119628906249999","0.6119628906249999","0.5612304687499998","0.5612304687499998","0.5612304687499998","0.5432812499999999","0.5432812499999999","0.5432812499999999"
