dataset_name,dataset_size,true_acceptance_rate,predicted_acceptance_rate,accuracy,accept_recall,reject_recall,metrics_2020,metrics_2021,metrics_2022,metrics_2023,metrics_2024,metrics_2025
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_method_related_fewshot_2acc_0rej_v6_test,2253,39.72,86.73,43.63,88.49,14.06,33.6/86.2/11.6(n=220),44.9/91.6/15.8(n=247),46.2/86.8/14.4(n=260),44.4/86.8/13.0(n=374),45.4/89.5/15.6(n=568),43.5/88.8/13.4(n=584)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_method_related_v6_test,2253,39.72,74.52,45.32,75.08,25.7,39.5/73.8/25.2(n=220),46.2/76.8/27.0(n=247),42.7/72.8/19.2(n=260),47.6/76.1/26.5(n=374),48.6/76.9/29.5(n=568),43.7/73.4/23.9(n=584)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v2_fewshot_0acc_2rej_v6_test,1170,38.03,42.31,50.34,42.25,55.31,58.2/54.9/59.7(n=220),51.0/44.2/55.3(n=247),51.5/42.6/57.2(n=260),46.5/36.9/52.9(n=374),39.1/31.0/45.0(n=69),
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v2_fewshot_0acc_3rej_v6_test,1170,38.03,46.24,50.94,48.31,52.55,51.4/50.7/51.7(n=220),48.2/50.5/46.7(n=247),53.1/44.6/58.5(n=260),53.7/51.7/55.1(n=374),36.2/31.0/40.0(n=69),
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v2_fewshot_0acc_4rej_v6_test,1170,38.03,55.98,47.52,56.18,42.21,43.2/54.9/37.6(n=220),49.8/60.0/43.4(n=247),52.7/59.4/48.4(n=260),46.3/53.7/41.3(n=374),40.6/48.3/35.0(n=69),
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v2_fewshot_1acc_1rej_v6_test,1170,38.03,57.69,47.78,59.1,40.83,46.8/57.7/41.6(n=220),49.0/62.1/40.8(n=247),46.5/55.4/40.9(n=260),48.9/61.1/40.9(n=374),44.9/55.2/37.5(n=69),
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v2_fewshot_2acc_0rej_v6_test,1170,38.03,82.91,41.79,82.92,16.55,38.2/83.1/16.8(n=220),40.5/84.2/13.2(n=247),40.0/80.2/14.5(n=260),45.2/83.9/19.6(n=374),46.4/82.8/20.0(n=69),
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_methodology_v6_test,1043,37.87,56.28,48.23,55.95,43.52,49.5/65.2/42.4(n=220),49.4/53.0/46.9(n=247),46.9/52.4/43.2(n=260),47.5/56.2/42.1(n=316),,
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v2_fewshot_0acc_2rej_v6_test,2097,39.96,23.7,54.7,24.34,74.9,62.3/12.7/82.2(n=220),57.1/18.3/80.5(n=247),52.7/25.0/75.0(n=260),52.4/22.3/76.4(n=374),53.5/29.9/70.1(n=568),54.2/25.9/72.1(n=428)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v2_fewshot_0acc_3rej_v6_test,2097,39.96,39.77,50.5,39.38,57.9,50.0/28.6/58.6(n=220),47.4/36.6/53.9(n=247),50.0/34.5/62.5(n=260),46.8/33.7/57.2(n=374),53.2/47.0/57.5(n=568),52.6/43.4/58.4(n=428)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v2_fewshot_0acc_4rej_v6_test,2097,39.96,44.4,51.41,46.3,54.81,57.3/49.2/60.5(n=220),56.3/54.8/57.1(n=247),50.0/43.1/55.6(n=260),49.5/41.6/55.8(n=374),50.2/46.6/52.7(n=568),49.8/47.0/51.5(n=428)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v2_fewshot_1acc_1rej_v6_test,2097,39.96,36.62,52.31,36.75,62.67,55.0/27.0/66.2(n=220),50.2/24.7/65.6(n=247),60.4/37.9/78.5(n=260),52.1/40.4/61.5(n=374),50.9/39.3/59.0(n=568),49.3/39.2/55.7(n=428)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v2_fewshot_2acc_0rej_v6_test,2097,39.96,77.49,44.73,78.4,22.32,37.3/79.4/20.4(n=220),41.7/80.6/18.2(n=247),50.0/81.9/24.3(n=260),46.0/72.9/24.5(n=374),46.7/83.3/21.0(n=568),43.5/72.9/24.8(n=428)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_only_related_work_v6_test,1960,40.0,66.58,49.13,69.64,35.46,45.9/76.1/32.7(n=220),49.8/74.5/33.6(n=247),51.5/72.2/36.8(n=260),49.7/68.4/36.1(n=374),50.2/68.5/37.2(n=568),46.0/63.6/34.1(n=291)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_v6_test,2521,39.98,99.44,39.9,99.21,0.4,30.5/97.1/0.0(n=220),32.8/98.8/0.0(n=247),42.7/100.0/0.7(n=260),42.0/100.0/0.0(n=374),40.0/99.1/0.9(n=568),42.6/99.2/0.4(n=852)
